league,club,season,window,player,group,type,weight,labels,fee,mv_at_purchase,from_club,sold,sale_fee,seasons_eval,rating,minutes,profit_loss,rating_imp,efficiency,mv_growth
Premier League,Watford FC,19/20,summer,Tom Dele-Bashiru,MID,starter,2.0,improves_problem|replaces_sold|rotation_option,€0,€150k,9265,False,,2,2.794,0.0,,,0.588,2.206
Premier League,Watford FC,19/20,summer,Kaylen Hinds,CF,rotation,1.0,replaces_sold|rotation_option,,€500k,515,False,,1,1.688,0.0,,,,1.688
Premier League,Watford FC,19/20,winter,João Pedro,CF,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€11.5m,€20.0m,2462,False,,2,6.283,3.302,,1.28,0.5,1.2
Premier League,Watford FC,19/20,winter,Ignacio Pussetto,CF,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€8.5m,€8.0m,Udinese Calcio,False,,1,2.144,0.318,,0.711,-0.104,1.219
Premier League,Watford FC,21/22,summer,Imrân Louza,MID,starter,2.0,replaces_sold|significant_outlay,€10.0m,€12.0m,FC Nantes,False,,1,2.849,2.999,,-0.177,0.278,-0.25
Premier League,Watford FC,21/22,summer,Emmanuel Dennis,CF,starter,2.0,replaces_sold|significant_outlay,€4.0m,€5.0m,2282,False,,1,7.202,5.469,,-0.101,0.333,1.5
Premier League,Watford FC,21/22,summer,Moussa Sissoko,MID,starter,2.0,replaces_sold|significant_outlay,€3.5m,€10.0m,Tottenham Hotspur,False,,1,6.168,6.5,,-0.282,0.5,-0.55
Premier League,Watford FC,21/22,summer,Ozan Tufan,MID,rotation,1.0,replaces_sold|rotation_option,€1.0m,€11.0m,36,False,,1,3.272,1.606,,0.648,0.5,0.518
Premier League,Watford FC,21/22,summer,Mattie Pollock,CB,starter,2.0,replaces_sold,€300k,,1034,False,,1,0.0,0.0,,,,
Premier League,Watford FC,21/22,summer,Joshua King,CF,rotation,1.0,replaces_sold|rotation_option,€0,€8.0m,Everton FC,False,,1,9.854,6.5,,1.354,0.5,1.5
Premier League,Watford FC,21/22,summer,Danny Rose,LB,rotation,1.0,rotation_option,€0,€3.0m,Tottenham Hotspur,False,,1,6.158,3.279,,1.28,0.5,1.1
Premier League,Watford FC,21/22,summer,Ashley Fletcher,CF,rotation,1.0,replaces_sold|rotation_option,€0,€3.0m,641,False,,1,2.508,0.133,,0.875,0.5,1.0
Premier League,Watford FC,21/22,summer,Kwadwo Baah,W,starter,2.0,replaces_sold,€0,,1088,False,,1,0.0,0.0,,,,
Premier League,Watford FC,21/22,summer,Nicolas N'Koulou,CB,starter,2.0,replaces_sold,,€5.0m,515,False,,1,0.0,0.376,,-0.339,,-0.526
Premier League,Watford FC,21/22,winter,Samir Caetano,CB,starter,2.0,replaces_sold|significant_outlay,€5.0m,€5.0m,Udinese Calcio,False,,1,3.157,3.539,,-0.382,0.0,0.0
Premier League,Watford FC,21/22,winter,Maduka Okoye,GK,starter,2.0,replaces_sold|significant_outlay,€5.0m,€1.0m,Sparta Rotterdam,False,,1,0.0,0.0,,,-0.714,
Premier League,Watford FC,21/22,winter,Edo Kayembe,MID,starter,2.0,replaces_sold|significant_outlay,€4.7m,€1.3m,1245,False,,1,2.198,1.687,,-0.297,-0.5,1.308
Premier League,Watford FC,21/22,winter,Hassane Kamara,LB,starter,2.0,significant_outlay,€4.0m,€6.0m,OGC Nice,False,,1,3.59,3.434,,-0.01,0.5,-0.333
Premier League,Watford FC,21/22,winter,Samuel Kalu,W,starter,2.0,replaces_sold|significant_outlay,€3.0m,€5.5m,FC Girondins Bordeaux,False,,1,0.153,0.469,,-0.361,0.5,-0.455
Premier League,Watford FC,21/22,winter,Yáser Asprilla,W,starter,2.0,replaces_sold|significant_outlay,€3.0m,€500k,7136,False,,1,0.0,0.0,,,-0.714,
Premier League,Watford FC,21/22,winter,Nicolas N'Koulou,CB,starter,2.0,replaces_sold,,€5.0m,515,False,,1,0.0,0.376,,-0.339,,-0.526
Serie A,Bologna FC 1909,19/20,summer,Riccardo Orsolini,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€15.0m,€15.0m,Juventus FC,False,,7,4.453,4.272,,0.104,0.0,0.076
Serie A,Bologna FC 1909,19/20,summer,Nicolás Domínguez,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€11.0m,€12.5m,1029,True,€6.7m,4,2.505,3.063,-0.526,0.08,-0.149,0.037
Serie A,Bologna FC 1909,19/20,summer,Nicola Sansone,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€8.0m,€7.5m,Villarreal CF,True,,4,2.529,3.078,,-0.178,-0.139,-0.232
Serie A,Bologna FC 1909,19/20,summer,Roberto Soriano,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€8.0m,€7.0m,Villarreal CF,True,,4,5.475,5.81,,0.022,-0.298,-0.06
Serie A,Bologna FC 1909,19/20,summer,Takehiro Tomiyasu,RB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€7.0m,€9.0m,475,True,€18.6m,2,7.576,5.118,2.0,0.044,0.127,0.287
Serie A,Bologna FC 1909,19/20,summer,Andreas Skov Olsen,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€6.0m,€8.0m,2778,True,€6.4m,3,1.738,1.733,0.089,-0.296,0.196,0.017
Serie A,Bologna FC 1909,19/20,summer,Stefano Denswil,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€6.0m,€6.0m,2282,True,€0,2,0.426,2.293,-1.333,-0.181,-0.25,-0.103
Serie A,Bologna FC 1909,19/20,summer,Mattia Bani,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€2.7m,€2.5m,Chievo Verona,True,€5.0m,1,5.637,4.31,1.136,0.021,0.183,-0.013
Serie A,Bologna FC 1909,19/20,summer,Jerdy Schouten,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€2.1m,€2.0m,Excelsior Rotterdam,True,€12.3m,4,6.547,3.661,2.5,-0.032,-0.038,0.456
Serie A,Bologna FC 1909,19/20,summer,Gary Medel,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold,€1.5m,€3.8m,114,True,€0,4,1.59,3.23,-1.333,-0.088,0.0,-0.218
Serie A,Bologna FC 1909,19/20,summer,Lassi Lappalainen,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,€700k,€250k,1008,True,€700k,1,0.0,0.0,0.0,,-0.417,
Serie A,Bologna FC 1909,19/20,summer,Danilo,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold,€415k,€800k,Udinese Calcio,True,€0,2,4.112,5.575,-1.333,-0.036,0.0,-0.094
Serie A,Bologna FC 1909,19/20,summer,Gabriele Corbo,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€800k,14848,True,€0,2,0.0,0.119,-1.333,-0.189,-0.5,-0.036
Serie A,Bologna FC 1909,19/20,winter,Emanuel Vignato,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,€1.1m,€4.2m,Chievo Verona,True,€400k,3,0.283,1.303,-0.848,-0.182,0.0,0.011
Serie A,Bologna FC 1909,19/20,winter,Musa Juwara,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€500k,14848,True,€0,3,0.0,0.124,-1.333,-0.34,-0.5,0.2
Serie A,Bologna FC 1909,20/21,summer,Aaron Hickey,RB,starter,2.0,improves_problem|replaces_sold,€1.7m,€600k,43,True,€14.2m,2,6.081,3.506,2.5,-0.189,-0.424,0.688
Serie A,Bologna FC 1909,20/21,summer,Edoardo Vergani,CF,starter,2.0,improves_problem|replaces_sold,€800k,€400k,5380,False,,1,0.0,0.023,,-0.642,-0.5,0.5
Serie A,Bologna FC 1909,20/21,summer,Sébastian Breza,GK,starter,2.0,improves_problem|replaces_sold,€175k,€100k,7197,True,€0,1,0.0,0.0,-1.481,,-0.556,0.0
Serie A,Bologna FC 1909,20/21,summer,Luis Binks,CB,starter,2.0,improves_problem|replaces_sold|rotation_option,€97k,€100k,4078,True,€3.8m,1,5.048,1.25,3.0,-0.227,0.275,0.75
Serie A,Bologna FC 1909,20/21,summer,Lorenzo De Silvestri,RB,starter,2.0,improves_problem|replaces_sold|rotation_option,€0,€2.5m,Torino FC,False,,6,2.309,2.583,,-0.12,0.5,-0.653
Serie A,Bologna FC 1909,20/21,winter,Valentin Antov,CB,starter,2.0,improves_problem|replaces_sold|rotation_option,€200k,€1.0m,208,False,,1,1.531,0.486,,-0.454,0.5,1.0
Serie A,Bologna FC 1909,20/21,winter,Adama Soumaoro,CB,starter,2.0,improves_problem|replaces_sold|rotation_option,€175k,€3.5m,LOSC Lille,True,,4,4.112,3.589,,-0.072,0.625,-0.03
Serie A,Bologna FC 1909,21/22,summer,Musa Barrow,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€14.3m,€20.0m,Atalanta BC,True,€6.0m,2,3.2,4.012,-0.775,0.07,-0.014,-0.092
Serie A,Bologna FC 1909,21/22,summer,Marko Arnautovic,CF,starter,2.0,improves_problem|replaces_sold|significant_outlay,€6.0m,€10.0m,27190,True,€10.9m,3,4.216,2.758,1.089,0.036,0.5,-0.167
Serie A,Bologna FC 1909,21/22,summer,Kevin Bonifazi,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€5.8m,€7.0m,SPAL,False,,4,0.381,1.161,,-0.365,0.274,-0.689
Serie A,Bologna FC 1909,21/22,summer,Adama Soumaoro,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€2.1m,€4.0m,LOSC Lille,True,,3,3.75,3.36,,-0.131,0.625,-0.104
Serie A,Bologna FC 1909,21/22,summer,Sydney van Hooijdonk,CF,starter,2.0,improves_problem|replaces_sold,€735k,€500k,NAC Breda,True,€0,2,0.0,0.236,-1.333,-0.349,-0.5,0.562
Serie A,Bologna FC 1909,21/22,summer,Francesco Bardi,GK,starter,2.0,improves_problem|replaces_sold,,€700k,Frosinone Calcio,True,€0,2,0.0,0.261,-1.333,0.393,-0.5,-0.095
Serie A,Bologna FC 1909,21/22,summer,Nicolas Viola,MID,starter,2.0,addresses_problem|replaces_sold,,€1.5m,515,True,€0,1,0.0,0.193,-1.333,-0.342,-0.5,-0.2
Serie A,Bologna FC 1909,21/22,summer,Omar Khailoti,CB,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€200k,14848,True,,1,0.0,0.0,,,,-0.256
Serie A,Bologna FC 1909,21/22,summer,Marco Molla,GK,starter,2.0,improves_problem|replaces_sold,,€75k,14848,True,€0,1,0.0,0.0,-1.481,,-0.556,0.123
Serie A,Bologna FC 1909,21/22,winter,Denso Kasius,RB,starter,2.0,improves_problem|replaces_sold|significant_outlay|rotation_option,€3.3m,€250k,17596,True,€0,2,0.0,0.505,-1.333,-0.011,-0.5,0.625
Serie A,Bologna FC 1909,21/22,winter,Nicolas Viola,MID,starter,2.0,addresses_problem|replaces_sold,,€1.5m,515,True,€0,1,0.0,0.193,-1.333,-0.342,-0.5,-0.2
Serie A,Bologna FC 1909,22/23,summer,Joshua Zirkzee,CF,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€27.5m,€11.0m,Bayern Munich,True,€42.5m,2,7.766,4.779,2.0,0.908,-0.375,0.455
Serie A,Bologna FC 1909,22/23,summer,Jhon Lucumí,CB,starter,2.0,improves_problem|replaces_sold|significant_outlay|rotation_option,€8.0m,€9.0m,1184,False,,4,6.649,5.287,,0.149,0.185,1.028
Serie A,Bologna FC 1909,22/23,summer,Arthur Theate,CB,starter,2.0,improves_problem|replaces_sold|significant_outlay|rotation_option,€6.8m,€15.0m,2861,True,€19.0m,1,2.908,0.0,2.353,,0.556,
Serie A,Bologna FC 1909,22/23,summer,Michel Aebischer,MID,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€3.0m,€3.5m,452,False,,3,4.115,3.165,,-0.216,0.238,0.929
Serie A,Bologna FC 1909,22/23,summer,Andrea Cambiaso,LB,starter,2.0,addresses_problem|improves_problem|replaces_sold,€2.0m,€5.0m,Juventus FC,False,,1,5.578,4.583,,-0.105,0.5,0.6
Serie A,Bologna FC 1909,22/23,summer,Lewis Ferguson,MID,starter,2.0,addresses_problem|replaces_sold,€2.0m,€2.0m,370,False,,4,6.149,4.02,,0.066,0.0,2.062
Serie A,Bologna FC 1909,22/23,summer,Nikola Moro,MID,starter,2.0,addresses_problem|replaces_sold,€1.5m,€9.0m,121,False,,4,2.901,2.685,,0.077,0.5,-0.361
Serie A,Bologna FC 1909,22/23,summer,Joaquín Sosa,CB,starter,2.0,improves_problem|replaces_sold|rotation_option,€950k,€500k,866,False,,2,1.232,0.724,,-0.68,-0.5,1.688
Serie A,Bologna FC 1909,22/23,summer,Stefan Posch,CB,starter,2.0,improves_problem|replaces_sold|rotation_option,€350k,€10.0m,TSG 1899 Hoffenheim,True,€5.5m,4,6.081,2.765,3.0,-0.001,0.25,0.067
Serie A,Bologna FC 1909,22/23,summer,Matteo Angeli,CB,starter,2.0,improves_problem|replaces_sold|rotation_option,€50k,€500k,4324,True,€0,1,0.0,0.0,-1.481,,0.0,-0.037
Serie A,Bologna FC 1909,22/23,summer,Charalampos Lykogiannis,LB,starter,2.0,addresses_problem|improves_problem|replaces_sold,€0,€2.2m,Cagliari Calcio,False,,4,1.926,1.95,,-0.058,0.5,-0.466
Serie A,Bologna FC 1909,22/23,summer,Kacper Urbański,MID,starter,2.0,addresses_problem|replaces_sold,,€200k,14848,True,€700k,3,2.801,0.756,2.0,-0.123,-0.5,0.667
Serie A,Bologna FC 1909,22/23,winter,Georgios Kyriakopoulos,LB,starter,2.0,addresses_problem|improves_problem|replaces_sold,€200k,€5.0m,US Sassuolo,False,,1,1.802,1.497,,0.045,0.5,-0.24
Serie A,Bologna FC 1909,22/23,winter,Niklas Pyyhtiä,MID,starter,2.0,addresses_problem|replaces_sold,,€400k,14848,False,,2,0.54,0.116,,-0.628,,1.053
Serie A,Bologna FC 1909,23/24,summer,Riccardo Calafiori,LB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€23.9m,€4.5m,26,True,€43.7m,1,6.33,4.558,1.11,0.312,-0.274,0.625
Serie A,Bologna FC 1909,23/24,summer,Dan Ndoye,W,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€16.4m,€3.5m,26,True,€42.0m,2,6.373,3.827,2.0,0.004,-0.083,0.625
Serie A,Bologna FC 1909,23/24,summer,Jesper Karlsson,W,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€11.2m,€18.0m,AZ Alkmaar,False,,3,0.0,0.455,,-0.369,0.5,-0.667
Serie A,Bologna FC 1909,23/24,summer,Sam Beukema,CB,starter,2.0,improves_problem|replaces_sold|significant_outlay|rotation_option,€10.9m,€4.5m,AZ Alkmaar,True,€31.0m,2,7.831,5.42,2.0,0.009,-0.161,0.562
Serie A,Bologna FC 1909,23/24,summer,Giovanni Fabbian,MID,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€5.4m,€6.0m,Inter Milan,False,,3,7.241,4.389,,1.177,0.175,1.5
Serie A,Bologna FC 1909,23/24,summer,Stefan Posch,CB,starter,2.0,improves_problem|replaces_sold|significant_outlay|rotation_option,€5.0m,€14.0m,TSG 1899 Hoffenheim,True,€5.5m,3,2.291,2.036,0.133,-0.057,0.25,-0.071
Serie A,Bologna FC 1909,23/24,summer,Nikola Moro,MID,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€2.5m,€6.5m,121,False,,3,8.57,5.42,,1.419,0.5,1.231
Serie A,Bologna FC 1909,23/24,summer,Oussama El Azzouzi,MID,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€2.3m,€800k,3948,False,,2,3.557,1.316,,1.241,-0.5,1.5
Serie A,Bologna FC 1909,23/24,summer,Victor Kristiansen,LB,starter,2.0,addresses_problem|improves_problem|replaces_sold,€1.0m,€12.0m,Leicester City,False,,1,5.695,4.882,,0.063,0.5,0.25
Serie A,Bologna FC 1909,23/24,summer,Alexis Saelemaekers,W,starter,2.0,addresses_problem|replaces_sold,€500k,€15.0m,AC Milan,False,,1,4.382,4.0,,0.083,0.5,-0.2
Serie A,Bologna FC 1909,23/24,summer,Tommaso Corazza,LB,starter,2.0,addresses_problem|improves_problem|replaces_sold,,€100k,14848,False,,3,2.163,0.139,,-0.344,,2.368
Serie A,Bologna FC 1909,23/24,winter,Santiago Castro,CF,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€13.2m,€7.0m,1029,False,,3,4.291,3.452,,-0.024,-0.5,1.363
Serie A,Bologna FC 1909,23/24,winter,Mihajlo Ilić,CB,starter,2.0,improves_problem|replaces_sold|significant_outlay|rotation_option,€4.8m,€3.0m,669,False,,2,0.0,0.0,,,-0.588,0.294
Serie A,Bologna FC 1909,23/24,winter,Jens Odgaard,MID,rotation,1.0,replaces_sold|rotation_option,€225k,€4.0m,AZ Alkmaar,False,,3,8.323,5.016,,1.307,0.5,1.5
Serie A,Bologna FC 1909,24/25,summer,Thijs Dallinga,CF,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€16.2m,€18.0m,FC Toulouse,False,,2,6.904,4.63,,1.232,0.167,0.875
Serie A,Bologna FC 1909,24/25,summer,Nicolò Cambiaghi,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€11.0m,€7.0m,Atalanta BC,False,,2,2.451,2.251,,0.092,-0.5,0.607
Serie A,Bologna FC 1909,24/25,summer,Emil Holm,RB,starter,2.0,addresses_problem|significant_outlay,€7.7m,€12.0m,Spezia Calcio,False,,2,2.195,1.892,,0.136,0.5,-0.333
Serie A,Bologna FC 1909,24/25,summer,Martin Erlić,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€7.7m,€3.0m,US Sassuolo,True,€5.0m,1,4.235,1.478,1.299,1.0,-0.042,0.5
Serie A,Bologna FC 1909,24/25,summer,Benja Domínguez,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€5.2m,€5.5m,1106,False,,2,3.629,2.272,,,0.1,1.257
Serie A,Bologna FC 1909,24/25,summer,Jens Odgaard,MID,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€4.8m,€4.5m,AZ Alkmaar,False,,2,9.205,6.5,,1.316,-0.111,1.5
Serie A,Bologna FC 1909,24/25,summer,Remo Freuler,MID,rotation,1.0,replaces_sold|rotation_option,€1.9m,€6.5m,Nottingham Forest,False,,2,9.423,6.5,,1.5,0.5,0.923
Serie A,Bologna FC 1909,24/25,summer,Nicolò Casale,CB,rotation,1.0,replaces_sold|rotation_option,€1.5m,€14.0m,SS Lazio,False,,2,6.021,3.737,,1.259,0.5,0.525
Serie A,Bologna FC 1909,24/25,summer,Naïm Byar,MID,rotation,1.0,replaces_sold|rotation_option,€310k,€250k,11204,True,,1,0.143,0.0,,,-0.571,0.714
Serie A,Bologna FC 1909,24/25,summer,Juan Miranda,LB,rotation,1.0,replaces_sold|rotation_option,€0,€9.0m,Real Betis Balompié,False,,2,10.0,6.5,,1.5,0.5,1.5
Serie A,Bologna FC 1909,24/25,winter,Estanis Pedrola,W,starter,2.0,addresses_problem|improves_problem|replaces_sold,€100k,€1.8m,UC Sampdoria,False,,1,0.761,0.017,,0.244,0.5,0.0
Serie A,Bologna FC 1909,25/26,summer,Jonathan Rowe,W,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€17.0m,€12.0m,Olympique Marseille,False,,1,4.115,3.402,,-0.12,-0.5,1.333
Serie A,Bologna FC 1909,25/26,summer,Martin Vitík,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€11.0m,€11.0m,197,False,,1,9.174,6.291,,1.383,0.0,1.5
Serie A,Bologna FC 1909,25/26,summer,Nadir Zortea,RB,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€7.5m,€5.0m,Cagliari Calcio,False,,1,3.567,3.824,,-0.157,-0.5,0.4
Serie A,Bologna FC 1909,25/26,summer,Torbjørn Heggem,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€7.5m,€1.2m,West Bromwich Albion,False,,1,9.528,6.5,,1.278,-0.5,2.25
Serie A,Bologna FC 1909,25/26,summer,Nicolò Casale,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€6.5m,€6.0m,SS Lazio,False,,1,5.206,3.207,,1.188,-0.139,0.95
Serie A,Bologna FC 1909,25/26,summer,Tommaso Pobega,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€1.0m,€9.0m,AC Milan,False,,1,3.118,3.03,,-0.301,0.5,-0.111
Serie A,Bologna FC 1909,25/26,summer,Ibrahim Sulemana,MID,starter,2.0,addresses_problem|improves_problem|replaces_sold,€500k,€7.0m,Atalanta BC,False,,1,0.267,0.104,,-0.425,0.588,
Serie A,Bologna FC 1909,25/26,summer,Federico Bernardeschi,W,starter,2.0,addresses_problem|replaces_sold,€0,€3.5m,11141,False,,1,3.096,2.551,,0.045,0.5,0.0
Serie A,Bologna FC 1909,25/26,summer,Ciro Immobile,CF,starter,2.0,improves_problem|replaces_sold|rotation_option,€0,€2.2m,114,True,€0,1,0.0,0.392,-1.404,-0.447,0.0,
Serie A,Bologna FC 1909,25/26,summer,Thomas Gillier,GK,starter,2.0,improves_problem|replaces_sold,€0,€1.2m,3277,False,,1,0.714,0.0,,,0.714,
Serie A,Bologna FC 1909,25/26,winter,Eivind Helland,CB,rotation,1.0,replaces_sold|significant_outlay|rotation_option,€7.0m,€6.0m,1100,False,,1,4.999,2.319,,1.458,-0.278,1.5
Premier League,Luton Town,23/24,summer,Ryan Giles,LB,starter,2.0,replaces_sold|significant_outlay,€5.8m,€9.0m,Wolverhampton Wanderers,False,,1,0.663,1.058,,-0.395,0.5,-0.5
Premier League,Luton Town,23/24,summer,Tahith Chong,MID,starter,2.0,replaces_sold|significant_outlay,€4.7m,€3.2m,337,False,,1,4.112,4.196,,-0.459,-0.5,0.875
Premier League,Luton Town,23/24,summer,Mads Andersen,CB,starter,2.0,replaces_sold|significant_outlay,€3.5m,€2.0m,349,False,,1,0.736,0.843,,-0.107,-0.5,0.5
Premier League,Luton Town,23/24,summer,Jacob Brown,CF,starter,2.0,replaces_sold|significant_outlay,€2.9m,€6.0m,Stoke City,False,,1,1.979,2.154,,-0.342,0.5,-0.333
Premier League,Luton Town,23/24,summer,Marvelous Nakamba,MID,starter,2.0,replaces_sold|significant_outlay,€2.9m,€4.0m,Aston Villa,False,,1,2.642,2.393,,-0.459,0.458,0.25
Premier League,Luton Town,23/24,summer,Thomas Kaminski,GK,starter,2.0,replaces_sold|significant_outlay,€2.9m,€2.2m,164,False,,1,6.169,6.5,,-0.195,-0.5,0.364
Premier League,Luton Town,23/24,summer,Ross Barkley,MID,rotation,1.0,replaces_sold|rotation_option,€0,€6.0m,OGC Nice,False,,1,10.0,6.5,,1.5,0.5,1.5
Premier League,Luton Town,23/24,summer,Chiedozie Ogbene,W,rotation,1.0,replaces_sold|rotation_option,€0,€2.0m,1194,False,,1,9.935,6.5,,1.435,0.5,1.5
Premier League,Luton Town,23/24,summer,Teden Mengi,CB,starter,2.0,replaces_sold,,€2.0m,Manchester United,False,,1,7.273,5.491,,-0.191,,1.974
Premier League,Luton Town,23/24,summer,Tim Krul,GK,starter,2.0,replaces_sold,,€600k,Norwich City,False,,1,0.0,0.0,,,,-0.208
Premier League,Luton Town,23/24,summer,Andros Townsend,W,starter,2.0,replaces_sold,,€1.5m,515,False,,1,2.372,2.687,,-0.526,,0.211
Premier League,Luton Town,23/24,winter,Daiki Hashioka,RB,starter,2.0,replaces_sold|significant_outlay,€2.0m,€2.0m,475,False,,1,0.593,1.256,,-0.663,0.0,0.0
Premier League,Luton Town,23/24,winter,Tom Holmes,CB,starter,2.0,replaces_sold,€1.1m,€3.5m,1032,False,,1,0.588,0.0,,,0.588,0.0
Premier League,Luton Town,23/24,winter,Andros Townsend,W,starter,2.0,replaces_sold,,€1.5m,515,False,,1,2.372,2.687,,-0.526,,0.211
Serie A,UC Sampdoria,19/20,summer,Emil Audero,GK,starter,2.0,improves_problem|replaces_sold|significant_outlay|rotation_option,€20.0m,€15.0m,Juventus FC,False,,4,4.924,5.79,,0.001,-0.5,-0.367
Serie A,UC Sampdoria,19/20,summer,Jakub Jankto,W,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€14.5m,€12.0m,Udinese Calcio,True,€5.2m,2,2.892,4.408,-0.859,-0.185,-0.424,-0.049
Serie A,UC Sampdoria,19/20,summer,Fabio Depaoli,RB,starter,2.0,addresses_problem|improves_problem|replaces_sold|significant_outlay,€4.5m,€5.0m,Chievo Verona,False,,4,0.784,1.146,,-0.193,0.167,-0.335
Serie A,UC Sampdoria,19/20,summer,Jeff Chabot,CB,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€3.7m,€3.5m,FC Groningen,False,,3,0.243,0.742,,-0.184,-0.095,-0.219
Serie A,UC Sampdoria,19/20,summer,Alex Ferrari,CB,starter,2.0,addresses_problem|replaces_sold|significant_outlay,€3.6m,€1.5m,Bologna FC 1909,False,,4,1.854,2.326,,-0.072,-0.5,0.1
